album_id,copyright
1GbtB4zTqAsyfZEsm1RZfx,℗ 2011 Queen Productions Ltd. under exclusive licence to Universal International Music BV
6Ad1E9vl75ZB3Ir87zwXIJ,"© 2019 Avicii Recordings AB, under exclusive license to Universal Music AB"
6Ad1E9vl75ZB3Ir87zwXIJ,"℗ 2019 Avicii Recordings AB, under exclusive license to Universal Music AB"
6XSSTHK08ICCZdS5AEq95R,© 2005 Universal Music Latino
6XSSTHK08ICCZdS5AEq95R,℗ 2004 Universal Music Latino
3IO8IPjwXuzPJnoaqkwYrj,"© 2018 Metro Boomin Want Some More, LLC., under exclusive license to Republic Records, a division of UMG Recordings, Inc. (Boominati Worldwide)"
3IO8IPjwXuzPJnoaqkwYrj,"℗ 2018 Metro Boomin Want Some More, LLC., under exclusive license to Republic Records, a division of UMG Recordings, Inc. (Boominati Worldwide)"
4asBn7hzIq2Ka7rDzJN24P,© 2004 Warner Strategic Marketing.
4asBn7hzIq2Ka7rDzJN24P,℗ 2004 Warner Strategic Marketing.
2njbaonul4fuGOFmPchUgU,(C) 2019 VP Records Corp./Dimelo Vi Dist. by Sony Music Entertainment U.S. Latin LLC
7dKQCCQnnkqgRQFxKRDqkJ,© 2013 Virgin Records Ltd
7dKQCCQnnkqgRQFxKRDqkJ,This Compilation ℗ 2013 Virgin Records Ltd
3ekkFrfotMsEAKc5g71GHk,(P) 1969 Sony Music Entertainment
0OmYuz9hwn1XoqmDaU0yJ7,© 1998 Mercury Records Limited
0OmYuz9hwn1XoqmDaU0yJ7,℗ 1998 Mercury Records Limited
0Y59j5oCvwTM2aNyPb6YpJ,"© 2019 CYB3RPVNK, under exclusive license to Universal Music GmbH"
0Y59j5oCvwTM2aNyPb6YpJ,"A Virgin Records release; ℗ 2019 CYB3RPVNK, under exclusive license to Universal Music GmbH"
3KFWViJ1wIHAdOVLFTVzjD,© 1996 Mercury Records Limited
3KFWViJ1wIHAdOVLFTVzjD,This Compilation ℗ 1996 Mercury Records Limited
6pL7kL9cOc0DpWCq6qJtxQ,"2009 Masters 2000, Inc."
6pL7kL9cOc0DpWCq6qJtxQ,"2009 Masters 2000, Inc."
5eg56dCpFn32neJak2vk0f,(P) 1994 LaFace Records LLC
6RfgcwsOUlWkGNAd6zjjYd,"© 1969 UMG Recordings, Inc."
6RfgcwsOUlWkGNAd6zjjYd,"A Geffen Records Release; ℗ 1969 UMG Recordings, Inc."
5FMrMKf6HODHa3DwYLPLHt,"© 2014 Universal Music Strategic Marketing, a division of Universal Music GmbH"
5FMrMKf6HODHa3DwYLPLHt,"This Compilation ℗ 2014 Universal Music Strategic Marketing, a division of Universal Music GmbH"
6eedtCtCjibu80yOhylSGL,"© 1959 UMG Recordings, Inc."
6eedtCtCjibu80yOhylSGL,"A Geffen Records release; ℗ 1959 UMG Recordings, Inc."
3YfIjaJEWqiSbKPguS9Bxd,"1995 The Echo Label Limited, a BMG Company trading as ECHO"
3YfIjaJEWqiSbKPguS9Bxd,"1995 The Echo Label Limited, a BMG Company trading as ECHO"
1PTTAq0OxggVgqP5WTYWDh,"(C) 2019 Real Hasta La Muerte, LLC."
1PTTAq0OxggVgqP5WTYWDh,"(P) 2019 Real Hasta La Muerte, LLC."
5MKInakULmoBNApeB2ZB3A,© 2019 Warner Music UK Limited.
5MKInakULmoBNApeB2ZB3A,"℗ 2019 An Asylum Records UK release, a division of Atlantic Records UK; ℗ 2019 Warner Music UK Limited"
6TZp52tXShLQbq8yNMxqNT,© 2003 S-Curve 2
6TZp52tXShLQbq8yNMxqNT,℗ 2003 EMI Music North America
15J400U0rEpgE64UQgtvLs,© 1985 Mercury Records Limited
15J400U0rEpgE64UQgtvLs,℗ 1985 Mercury Records Limited
0BkpKcHw606at6Y2cp8kdE,© 2010 Interscope Records
0BkpKcHw606at6Y2cp8kdE,℗ 2010 Interscope Records
0JA38Ekhsv43y2lBj5GQkQ,"(P) 2019 Gesaffelstein, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
57BhVBJbVPfIbwLANO5fSe,© 2019 Mosley Music/Interscope Records
57BhVBJbVPfIbwLANO5fSe,℗ 2019 Mosley Music/Interscope Records
24TAupSNVWSAHL0R7n71vm,(P) 1993 MJJ Productions Inc./(P) 2012 MJJ Productions Inc./(P) 2012 MJJ Productions Inc.
7qAJpYeABXN9ZV5wOOX59k,"© 2018 YG Entertainment, distributed through Interscope Records"
7qAJpYeABXN9ZV5wOOX59k,"℗ 2018 YG Entertainment, distributed through Interscope Records"
4fF56KwtoOvsd9uVmlEfxL,(C) 2015 Ca$h Machine Records
72mfhbEsMtXR6s7v9UhKe3,© 2016 Jones/Tintoretto Entertainment Co. LLC.
72mfhbEsMtXR6s7v9UhKe3,"℗ 1974, 2016 Jones/Tintoretto Entertainment Co., LLC under exclusive license to Parlophone Records Ltd, a Warner Music Group Company"
1ER3B6zev5JEAaqhnyyfbf,© 1985 Warner Records Inc.
1ER3B6zev5JEAaqhnyyfbf,℗ 1985 Warner Records Inc.
1hj1SYbJYdXloRiSjsCLXg,"(P) 1981 Columbia Records, a divisoin of Sony Music Entertainment"
0RADUK8yTUBidzBke6Eszq,© 1997 Cargo / MCA Records J.V.
0RADUK8yTUBidzBke6Eszq,℗ 1997 Cargo / MCA Records J.V.
5pnJrocLlZ3FWEbcr2PTz0,"(P) Originally released 1964. All rights reserved by Columbia Records, a division of Sony Music Entertainment"
50eHcXc4qede9mUKCYOuoz,"© 2016 Universal Music Spain, S.L."
50eHcXc4qede9mUKCYOuoz,"℗ 2016 Universal Music Spain, S.L."
4OHfmMUq6xwCo8zfQuc9Rf,"© 2018 Young Stoner Life Records, a 300 Entertainment Label."
4OHfmMUq6xwCo8zfQuc9Rf,"℗ 2018 Young Stoner Life Records, a 300 Entertainment Label."
22rp3PnM3q2mtTI0OGCzpq,"(P) 2015, 2016 Disruptor Records/Columbia Records"
3v17hBg9lx5vdJQ8Dfr6OD,(P) 1999 Sony Music Entertainment Inc.
0C3t1htEDTFKcg7F2rNbek,(P) 1958 Sony Music Entertainment
7DMS5dzWQu7R3D59CKw4TA,© 2019 Interscope Records
7DMS5dzWQu7R3D59CKw4TA,℗ 2019 Interscope Records
5s6M2lAR8GdGh8uEJA3HJu,"© 2018 UMG Recordings, Inc."
5s6M2lAR8GdGh8uEJA3HJu,"Universal Music Latino; ℗ 2018 UMG Recordings, Inc."
3Lg4pp9DVSsqcCA0IP82n6,2011 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States
3Lg4pp9DVSsqcCA0IP82n6,2012 This compilation 2012 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States
5AXNN75OmMjFrwst6ExNPx,© 2019 Polydor Ltd. (UK)
5AXNN75OmMjFrwst6ExNPx,A Polydor Records Release; ℗ 2019 Polydor Ltd. (UK)
7BuCGZPiQkZpyn0Wj8rxIh,© 2000 Geffen Records
7BuCGZPiQkZpyn0Wj8rxIh,℗ 2000 Geffen Records
35i6JrOJDOFIUuyQDtMjbA,2017 SpinninRecords.com
35i6JrOJDOFIUuyQDtMjbA,2017 SpinninRecords.com
5jNDWA19BJbE24x1UUJGRY,(P) 2005 SONY BMG MUSIC ENTERTAINMENT (GERMANY) GmbH
6dFFcYQ8VhifgdKgYY5LYL,© 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States.
6dFFcYQ8VhifgdKgYY5LYL,℗ 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States.
0OWwtYwEZFMquSeHGNv3cw,© 2004 Atlantic Recording Corp For the United States and WEA International Inc. for the world outside of the United States.
0OWwtYwEZFMquSeHGNv3cw,℗ 2004 Atlantic Recording Corp For the United States and WEA International Inc. for the world outside of the United States.
4nvgSs9EQXS5AIwprqq8OU,"© 2006 UMG Recordings, Inc."
4nvgSs9EQXS5AIwprqq8OU,"A Republic Records release; ℗ 2006 UMG Recordings, Inc."
6NzT9eDEkJvnbL2gLcT6ai,"(P) 2019 La Industria Inc., under exclusive license to Sony Music Entertainment US Latin LLC"
49K82qcZN4u109e6Zw8io1,© 2019 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company
49K82qcZN4u109e6Zw8io1,℗ 2019 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company
4UsjjAKbtKzmgEz2pGbv6P,"© 2018 Island Records, a division of UMG Recordings, Inc."
4UsjjAKbtKzmgEz2pGbv6P,"℗ 2018 Island Records, a division of UMG Recordings, Inc."
1BfLzaTFI5qKsAAk0Ae6aV,"(P) 2019 Chris Brown Entertainment, LLC, under exclusive license to RCA Records."
7lqieLm717j9Z8JrG7POkS,"2018 Lauv under exclusive license to AWAL Recordings America, Inc."
7lqieLm717j9Z8JrG7POkS,"2018 Lauv under exclusive license to AWAL Recordings America, Inc."
7fd7SEK25VS3gJAUgSwL6y,"© 2018 Quality Control Music, LLC and UMG Recordings, Inc."
7fd7SEK25VS3gJAUgSwL6y,"Quality Control Music / Motown Records / Capitol Records; ℗ 2018 Quality Control Music, LLC and UMG Recordings, Inc."
6GeHCNwwqMMUrpxuGTRYcf,"© 2019 Def Jam Recordings, a division of UMG Recordings, Inc."
6GeHCNwwqMMUrpxuGTRYcf,"℗ 2019 Def Jam Recordings, a division of UMG Recordings, Inc."
0oX4SealMgNXrvRDhqqOKg,(P) 1991 MJJ Productions Inc.
3KjXg0MDej2pG9fv6I22lT,"© 2019 Capitol Records, LLC"
3KjXg0MDej2pG9fv6I22lT,"℗ 2019 Capitol Records, LLC"
6gPZmYBSipug1asf4zu9jh,© 2019 Universal Music Operations Limited
6gPZmYBSipug1asf4zu9jh,A Positiva / Virgin EMI Records release; ℗ 2019 Universal Music Operations Limited
1ABRc0UFHY3x6rKQeFBTQ0,"© 2016 Republic Records, a division of UMG Recordings, Inc."
1ABRc0UFHY3x6rKQeFBTQ0,"℗ 2016 Republic Records, a division of UMG Recordings, Inc."
5I0eRWD0PLOmswFHZhcD12,2018
5I0eRWD0PLOmswFHZhcD12,2018
6i6folBtxKV28WX3msQ4FE,"© 2018 Queen Productions Ltd, under exclusive licence to Universal International Music BV"
6i6folBtxKV28WX3msQ4FE,"A Virgin Records Release; This Compilation ℗ 2018 Queen Productions Ltd, under exclusive licence to Universal International Music BV"
7baaCf70tVcUBL2bbkuXjo,© 2019 Universal Music Operations Limited
7baaCf70tVcUBL2bbkuXjo,A Capitol Records UK Release; ℗ 2019 Universal Music Operations Limited
0xbuJLlb5afBcmCpdOaszR,"(P) 2019 STMPD RCRDS B.V. exclusively licensed to Epic Amsterdam, a division of Sony Music Entertainment Netherlands B.V."
593hMJS0UPItZBWSWPX1Qb,"© 2018 187 Strassenbande, under exclusive license to Universal Music GmbH"
593hMJS0UPItZBWSWPX1Qb,"A Vertigo/Capitol release; ℗ 2018 187 Strassenbande, under exclusive license to Universal Music GmbH"
5uRdvUR7xCnHmUW8n64n9y,"Distributed exclusively by Warner Music France / ADA France, © 1997 Daft Life Ltd."
5uRdvUR7xCnHmUW8n64n9y,"Distributed exclusively by Warner Music France / ADA France, ℗ 1997 Daft Life Ltd."
0cqRGWD3uc5Lggpducn5nD,"© 2019 Meduza, under exclusive license to Universal Music GmbH"
0cqRGWD3uc5Lggpducn5nD,"A Virgin Records Germany / Polydor UK release; ℗ 2019 Meduza, under exclusive license to Universal Music GmbH"
5M3BrdaT0TV5SsYsM5PM8X,© 2002 Murder Inc. Records L.L.C.
5M3BrdaT0TV5SsYsM5PM8X,℗ 2002 Murder Inc. Records L.L.C.
5B6XfyHHYawyLkEvNvhSPh,"© 2008 The Sleepy Jackson Pty Ltd and Nick Littlemore, under exclusive license to Universal Music Australia Pty Ltd"
5B6XfyHHYawyLkEvNvhSPh,"An EMI Recorded Music Australia Production; ℗ 2019 The Sleepy Jackson Pty Ltd and Nick Littlemore, under exclusive license to Universal Music Australia Pty Ltd"
00HZxSA1sOS9T3nA950sg4,"© 2019 Frozen Moments, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc."
00HZxSA1sOS9T3nA950sg4,"OVO; ℗ 2019 Frozen Moments, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc."
4i5b4YWuMtneUSvQPONwzK,"© 2019 UMG Recordings, Inc."
4i5b4YWuMtneUSvQPONwzK,"Universal Music Latino; ℗ 2019 UMG Recordings, Inc."
2UgmfoJF7x7cQmWADnoQdG,"© 2013 Refune Music Rights AB, under exclusive license to Universal Music AB"
2UgmfoJF7x7cQmWADnoQdG,"℗ 2013 Refune Music Rights AB, under exclusive license to Universal Music AB"
1VFgefav92A6JzlPSUatzV,"(P) 2018 Ultra Records, LLC"
3YIUNL7qFE8NP3X3zaYSND,(P) 2019 Sony Music Entertainment US Latin LLC
4WlC4FXhonJhNTXCQPGP3r,"(P) 2019 Y2K Music, Inc. & BBNO Music Inc., both under exclusive license to Columbia Records, a Division of Sony Music Entertainment."
1FvdZ1oizXwF9bxogujoF0,(P) 1983 Sony Music Entertainment Inc.
1m8eXQqp3QCQyR56fgbm6o,"© 2019 Disney Enterprises, Inc."
1m8eXQqp3QCQyR56fgbm6o,℗ 2019 Walt Disney Records
5MBUL8d9FAYCCMrogOFX68,"© 2000 Source, un label de Parlophone Music, une division de Parlophone Music France"
5MBUL8d9FAYCCMrogOFX68,"℗ 2000 Source, un label de Parlophone Music, une division de Parlophone Music France"
4guW5WPxFzHrXg04FPC9v9,© 2005 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. All Rights Reserved.
4guW5WPxFzHrXg04FPC9v9,℗ 2005 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. All Rights Reserved.
2h5LDCGJCWUyaoEXQZHky6,"(P) 2016 RCA Records, a division of Sony Music Entertainment"
2RNTBrSO8U8XjjEj9RVvZ5,"© 1998 Round Hill Records, Manufactured and distributed by Universal Music Enterprises, a division of UMG Recordings, Inc."
2RNTBrSO8U8XjjEj9RVvZ5,"℗ 1998 Round Hill Records, Manufactured and distributed by Universal Music Enterprises, a division of UMG Recordings, Inc."
4FFBjcmX06VmazABtpRMyv,"© 2019 Republic Records, a division of UMG Recordings, Inc."
4FFBjcmX06VmazABtpRMyv,"℗ 2019 Republic Records, a division of UMG Recordings, Inc."
31q47gQszFt0CddSyMksgO,"© 2008 Concord Music Group, Inc."
31q47gQszFt0CddSyMksgO,"℗ 2008 Concord Music Group, Inc."
0JwHz5SSvpYWuuCNbtYZoV,"(P) Originally released 1970. All rights reserved by Columbia Records, a division of Sony Music Entertainment"
5I0Wf7lRLZArM1K2uQ1AEA,© 2006 Gnarls Barkley under exclusive license to Warner Music UK Ltd
5I0Wf7lRLZArM1K2uQ1AEA,℗ 2006 Gnarls Barkley under exclusive license to Warner Music UK Ltd.
7GjG91tyHQNGEHzKJaqOi0,© 2017 Astralwerks
7GjG91tyHQNGEHzKJaqOi0,℗ 2017 Astralwerks
18iFxjZugvKhuNNMbLjZJF,"(P) 2015 Columbia Records, a Division of Sony Music Entertainment"
40vQONzvJb6sKejDN3eWza,"2019 LISN, under exclusive license to Warner Records Inc."
40vQONzvJb6sKejDN3eWza,"2019 LISN, under exclusive license to Warner Records Inc."
2ZytN2cY4Zjrr9ukb2rqTP,(P) 1979 MJJ Productions Inc.
4RLVTxnuVN5ZWZqBFnaaQt,"(P) 1979 Columbia Records, a division of Sony Music Entertainment"
26ztFK3E69j5THJQdyxC5w,"(P) 2019 Polo G under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
355bjCHzRJztCzaG5Za4gq,"(P) 2018 Columbia Records, a Division of Sony Music Entertainment"
4yLm8z5qT0MOfP8dtvm0jS,"© 2017 Klingande Music, under exclusive license to Virgin Records, a division of Universal Music GmbH"
4yLm8z5qT0MOfP8dtvm0jS,"℗ 2017 Klingande Music, under exclusive license to Virgin Records, a division of Universal Music GmbH"
3tQd5mwBtVyxCoEo4htGAV,(P) 1993 Sony Music Entertainment
5hDwXxawZfYuNxylzGXcqt,2018 Eleven Seven Music
5hDwXxawZfYuNxylzGXcqt,2018 Eleven Seven Music
0Uv83rRhY5QvHKkQoULRKk,"© 2014 Rubyworks Limited, under assignment to Island Records, a division of Universal Music Operations Limited"
0Uv83rRhY5QvHKkQoULRKk,"℗ 2014 Rubyworks Limited, under assignment to Island Records, a division of Universal Music Operations Limited"
2m9Vuc9Q19qhSm6RQmBgsR,© 2019 Star Island Inc
2m9Vuc9Q19qhSm6RQmBgsR,℗ 2019 Star Island Inc
1ONuDpN0a3zhCUyKCgtuzK,(P) 2019 Disruptor Records/Columbia Records
6N9PS4QXF1D0OWPk0Sxtb4,(P) 1987 Sony Music Entertainment UK Limited under exclusive license to BMG Rights Management (UK) Limited
1KOmHyNLuOe5YrPhD3Juuf,"© 2017 NF Real Music, LLC"
1KOmHyNLuOe5YrPhD3Juuf,"Capitol Records; ℗ 2017 NF Real Music, LLC"
6gH6TAkytLzyXYiTbJQL0O,"(P) 2019 RCA Records, a division of Sony Music Entertainment"
5HDj9yjtyhPduBMVax56pg,"© 2005 Round Hill Records, Manufactured and distributed by Universal Music Enterprises, a division of UMG Recordings, Inc."
5HDj9yjtyhPduBMVax56pg,"This Compilation ℗ 2005 Round Hill Records, Manufactured and distributed by Universal Music Enterprises, a division of UMG Recordings, Inc."
7G9QcvG6U223NqJzVIMNrZ,"© 2019 Mabel McVey, under exclusive licence to Universal Music Operations Limited"
7G9QcvG6U223NqJzVIMNrZ,"A Polydor Records Release; ℗ 2019 Mabel McVey, under exclusive licence to Universal Music Operations Limited"
2hc2nl6opteMmG3LCDVt0e,2013 We The Kings under exclusive license to S-Curve Records
2hc2nl6opteMmG3LCDVt0e,2013 We The Kings under exclusive license to S-Curve Records
5PMpdvn38HScK6IuLniRep,2016 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company
5PMpdvn38HScK6IuLniRep,2016 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company
321q9p7PELvzcFAWxml7VX,© 1980 The Island Def Jam Music Group
321q9p7PELvzcFAWxml7VX,℗ 2001 The Island Def Jam Music Group
0jTGHV5xqHPvEcwL8f6YU5,© 2015 Apple Corps Ltd
0jTGHV5xqHPvEcwL8f6YU5,℗ 2015 Calderstone Productions Limited (a division of Universal Music Group)
4XvGuEh8FePzLZJlEZtOlq,2017 DF Records
4XvGuEh8FePzLZJlEZtOlq,2017 DF Records
0Xr2X0dAUZK8H0RXXRncm4,2018 MUEVA Records
0Xr2X0dAUZK8H0RXXRncm4,2018 MUEVA Records
15k99o4mZJ9mfpQGIOrZ45,"(P) 2018 mcDJ Recording, under license to RCA Records, a division of Sony Music Entertainment"
4QAC6FquY8D0RXom13iE5J,"(P) 2019 Joytime Collective, under exclusive license to Sony Music Entertainment. All rights reserved."
5hdW5Ad1dvlxAdSL8Krrv7,"© 2018 Universal Music Spain, S.L.U."
5hdW5Ad1dvlxAdSL8Krrv7,"℗ 2018 Universal Music Spain, S.L.U."
5DA2dJgKERij9OVWbJDZDj,1994 Muunshine Muusic
5DA2dJgKERij9OVWbJDZDj,1994 Muunshine Muusic
1CEBG1qVlHZr6v7eHAVF4W,2013 Lichtdicht Records
1CEBG1qVlHZr6v7eHAVF4W,2013 Lichtdicht Records
5mLjE4CPn8kNpzqNNslabJ,2019
5mLjE4CPn8kNpzqNNslabJ,2019
2i27N4YvO0SHfZtMyBUnj6,2012 Hysteria / SpinninRecords.nl
2i27N4YvO0SHfZtMyBUnj6,2012 Hysteria / SpinninRecords.nl
1Z7WbPmn7QFoJ2DrNfEehz,"(P) 2019 RCA Records, a division of Sony Music Entertainment"
4htcOW08TqINNLbcSf9esI,(C) 2002 The Orchard
4htcOW08TqINNLbcSf9esI,(P) 2002 The Orchard
621cXqrTSSJi1WqDMSLmbL,© 2018 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company
621cXqrTSSJi1WqDMSLmbL,℗ 2018 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company
5LMGAYhn2ywaxGZdtmXGpw,2008 © 1983 Warner Records Inc.
5LMGAYhn2ywaxGZdtmXGpw,"2008 ℗ 1983 Warner Records Inc. Marketed by Warner Strategic Marketing, a Warner Music Group Company."
0qJkFmVwwNXP6fvSemDZqn,© 2019 Big Ligas under exclusive license to Warner Music Latina
0qJkFmVwwNXP6fvSemDZqn,℗ 2019 Big Ligas under exclusive license to Warner Music Latina
2utLlsPJXe11YMuLwH2rf4,(P) 2018 Sony Music Entertainment Germany GmbH
3dAxXNscIj0p53lBMEziYR,"© 2013 Maya Arulpragasam, under exclusive license to Interscope Records"
3dAxXNscIj0p53lBMEziYR,"℗ 2013 Maya Arulpragasam, under exclusive license to Interscope Records"
6p9Y1K9yu3ojyS8fBJXUnp,2019 300 Entertainment / Atlantic Recording Corporation
6p9Y1K9yu3ojyS8fBJXUnp,2019 300 Entertainment / Atlantic Recording Corporation
3mVCQqgwEvwD7lHy9KHi7R,© 1987 A&M Records Inc.
3mVCQqgwEvwD7lHy9KHi7R,"℗ 1987 UMG Recordings, Inc."
4hLQA4V348qQjKKDGlYEYV,(P) 1999 SONY BMG MUSIC ENTERTAINMENT
6GphKx2QAPRoVGWE9D7ou8,© 2001 Capitol Records Inc.
6GphKx2QAPRoVGWE9D7ou8,℗ 2001 Capitol Records Inc.
3nCQjsOzTmnWM6gnjIaT8J,"© 1987 Jefferson Starship, Inc., under exclusive license to Rhino Entertainment Company, a Warner Music Group Company."
3nCQjsOzTmnWM6gnjIaT8J,"℗ 1987 Jefferson Starship, Inc., under exclusive license to Rhino Entertainment Company, a Warner Music Group Company."
19UoBHanqMth4tk0rFw5RJ,© 1996 Geffen Records
19UoBHanqMth4tk0rFw5RJ,℗ 1988 Geffen Records
0sFq10gbnEw519SPeozbaY,© 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company
0sFq10gbnEw519SPeozbaY,℗ 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company
3Qa0qW4ged1J4HGeLXbFsC,(P) 2019 Relentless Records under exclusive licence to Sony Music Entertainment UK Limited
4W6kVnBPgcW8zDYXbRHh2J,"(P) 2004, 2005 Getting Out Our Dreams and Sony Music Entertainment"
6tMeipxbqiKnp7F368cwsi,2001 Sub Pop Records
6tMeipxbqiKnp7F368cwsi,2001 Sub Pop Records
19AUoKWRAaQYrggVvdQnqq,(P) 1976 Australian Music Corporation Pty Ltd.
1Vw2uoVkLAJFVViJ1QyK1D,"(P) 1989 Columbia Records, a division of Sony Music Entertainment"
3bzgbgiytguTDnwzflAZr2,"(P) Originally released 1968. All rights reserved by Columbia Records, a division of Sony Music Entertainment"
0PT5m6hwPRrpBwIHVnvbFX,© 2015 Apple Corps Ltd
0PT5m6hwPRrpBwIHVnvbFX,℗ 2015 Calderstone Productions Limited (a division of Universal Music Group)
74gSdSHe71q7urGWMMn3qB,© 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States.
74gSdSHe71q7urGWMMn3qB,℗ 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States.
7xe8VI48TxUpU1IIo0RfGi,(P) 1961 Sony Music Entertainment
5Zyj0zwOksGYLbLAZOaC31,"© 2019 UMG Recordings, Inc."
5Zyj0zwOksGYLbLAZOaC31,"Universal Music Latino; ℗ 2019 UMG Recordings, Inc."
7DZeLXvr9eTVpyI1OlqtcS,"Originally released 1964. All rights reserved by Columbia Records, a division of Sony Music Entertainment"
3oIFxDIo2fwuk4lwCmFZCx,© 2019 Warner Music UK Limited.
3oIFxDIo2fwuk4lwCmFZCx,"℗ 2019 An Asylum Records UK release, a division of Atlantic Records UK; ℗ 2019 Warner Music UK Limited except track 6 ℗ 2019 Warner Music UK / Def Jam Recordings, a division of UMG Recordings, Inc"
0FPqSXvARe3Hr3xL2sEuIe,2018 CYB3RPVNK
0FPqSXvARe3Hr3xL2sEuIe,2018 CYB3RPVNK
3ztJAikTd2AHTixfSPG185,(P) 2018 Sony Music Entertainment US Latin LLC/Magnus Music LLC/Westbrook Records
4mKWtSdQVrmWzY0d3fLBTR,2019 Joytime Collective under exclusive license to Warner Records Inc.
4mKWtSdQVrmWzY0d3fLBTR,2019 Joytime Collective under exclusive license to Warner Records Inc.
32NQ56VZDTXSH3SMv4XSGN,© 2012 Deep Purple (Overseas) LTD
32NQ56VZDTXSH3SMv4XSGN,℗ 2012 Deep Purple (Overseas) LTD
2pMxs38Y5A0mmHrcu3twvB,"1967 Flo & Eddie, Inc."
4Mz9ZCE83IiaVC9ejMqxky,"© 2019 Galactic Records, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc."
