index	track	track_id	artist	artist_id	album	album_id	release_date	duration	explicit	danceability	energy	key	loudness	mode	speechiness	instrumentalness	liveness	valence	tempo	time_signature	playcount	yt_views	genres
12	Say You Won't Let Go	5uCax9HTNlzGybIStD3vDh	James Arthur	4IWBUUAFIplrNtaOHcJPRM	Back from the Edge	7oiJYvEJHsmYtrgviAVIBD	2016-10-28	03:31	False	0.358	0.557	10	-7.398	1	0.059	0.0	0.0902	0.494	85.043	4	1880226930	1361044081	pop,folk,r&b
13	Perfect	0tgVpDi06FyKpA1z0VMD4v	Ed Sheeran	6eUKZXaKkcviH0Ku9w2n3V	÷ (Deluxe)	3T4tUhGYeRNVUGevb0wThu	2017-03-03	04:23	False	0.599	0.448	8	-6.312	1	0.0232	0.0	0.106	0.168	95.05	3	1896125304	3018102976	soft rock
14	Believer	6VRghJeP6I0w1KxkdWFfIh	Imagine Dragons	53XhwfbYqKCa1cC15pYq2q	Believer	3KzCJaaRVza9FnSsqtAFeO	2017-01-31	03:24	False	0.77	0.787	10	-4.402	0	0.113	0.0	0.108	0.699	125.013	4	1892206950	2080555843	arena rock,pop rock
15	Havana (feat. Young Thug)	0ofbQMrRDsUaVKq2mGLEAb	Camila Cabello	4nDoRrQiYLoBzwC5BhVJzF	Havana (feat. Young Thug)	5chBPOVY2I0bG5V3igb5QL	2017-08-03	03:37	False	0.768	0.517	7	-4.323	0	0.0312	3.8e-05	0.104	0.418	104.992	4	1677301064	1839098268	pop
16	Love Yourself	3hB5DgAiMAQ4DzYbsMq1IT	Justin Bieber	1uNFoZAHBGtllmzznpCI3s	Purpose (Deluxe)	7fZH0aUAjY3ay25obOUf2a	2015-11-13	03:54	False	0.609	0.378	4	-9.828	1	0.438	0.0	0.28	0.515	100.418	4	1673289177	1631007328	acoustic pop
17	Photograph	1HNkqx9Ahdgi1Ixy2xkKkL	Ed Sheeran	6eUKZXaKkcviH0Ku9w2n3V	x (Deluxe Edition)	1xn54DMo2qIqBuMqHtUsFd	2014-06-21	04:19	False	0.614	0.379	4	-10.48	1	0.0476	0.000464	0.0986	0.201	107.989	4	1735258052	1165887887	folk pop
18	Starboy	7lQqaqZu0vjxzpdATOIsDt	The Weeknd	1Xyo4u8uXC1ZmMpatF05PJ	Starboy	4rnl39iMQXOYZcw9J7ml4y	2016-09-22	03:50	True	0.68	0.594	7	-7.021	1	0.28	2.35e-06	0.134	0.475	186.04	4	1697027619	1970661533	r&b,electropop
19	New Rules	1Y8tTuBW1YOFc6o2N9jLGM	Dua Lipa	6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	7kYBLI9MzERZtMMByoZtOs	2017-06-02	03:32	False	0.764	0.718	9	-5.18	0	0.0703	1.11e-05	0.113	0.596	116.01	4	1598932354	2553373352	electropop,tropical house
20	SAD!	3ee8Jmje8o58CHK66QrVC2	XXXTENTACION	15UsOTVnJzReFVN1VCnxy4	?	2Ti79nwTsont5ZHfdxIzAm	2018-03-16	02:47	True	0.74	0.613	8	-4.88	1	0.145	0.00372	0.123	0.473	75.023	4	1708028308	1114851551	cloud rap,alternative r&b,emo rap
21	Lucid Dreams	0X8DcetL926BYiPJYstJTc	Juice WRLD	4MCBfE4596Uoi2O4DtmEMz	Goodbye & Good Riddance	24X4IZGu9QcQ8pVf9dFAGg	2018-05-23	03:60	True	0.511	0.566	6	-7.23	0	0.2	0.0	0.34	0.218	83.903	4	1780280317	763763576	emo rap
22	Something Just Like This	1dNIEtp7AY3oDAKCGg2XkH	The Chainsmokers	69GGBxA162lTqCwzJG5jLp	Something Just Like This	7IzpJkWQqgz1BTutQvSitX	2017-02-22	04:8	False	0.607	0.649	11	-6.695	0	0.0362	2.46e-05	0.174	0.505	102.996	4	1676565338	2008049582	edm,pop
23	Lean On (feat. MØ & DJ Snake)	0BF6mdNROWgYo3O3mNGrBc	Major Lazer	738wLrAtLtCtFOLvQBXOXp	Lean On (feat. MØ & DJ Snake)	1SI0AMK6rb2J8S0Jazli9D	2015-03-02	02:57	False	0.723	0.809	7	-3.081	0	0.0625	0.00123	0.565	0.274	98.007	4	1549849892	3125541930	electronic,moombahton
24	Despacito - Remix	5CtI0qwDJkDQGwXD1H1cLb	Luis Fonsi	4V8Sr092TqfHkfAA5fXXqG	Despacito Feat. Justin Bieber (Remix)	3smvpv7CdrhVcGYaNDLOqn	2017-04-17	03:49	False	0.694	0.815	2	-4.328	1	0.12	0.0	0.0924	0.813	88.931	4	1493592290	667967306	reggaeton,latin pop
25	Thunder	56lBX2WHqfGuoeZxZvUnVj	Imagine Dragons	53XhwfbYqKCa1cC15pYq2q	Thunder	0VvK3TRKSJTk2FR4bzCV1w	2017-04-27	03:8	False	0.601	0.834	0	-3.78	1	0.0455	0.15	0.121	0.249	167.879	4	1610281684	1747978796	electropop,synth-pop,arena rock
26	Sorry	69bp2EbF7Q2rqc5N3ylezZ	Justin Bieber	1uNFoZAHBGtllmzznpCI3s	Purpose (Deluxe)	7fZH0aUAjY3ay25obOUf2a	2015-11-13	03:21	False	0.654	0.76	0	-3.669	0	0.045	0.0	0.299	0.41	99.945	4	1532792996	3487126030	dancehall pop,tropical house,moombahton
27	XO TOUR Llif3	2eMwDehkIC1j68U6FA3Eiq	Lil Uzi Vert	4O15NlyKLIASxsJ0PrXPfz	XO TOUR Llif3	4CZVGlURM8vncG4ftZULTS	2017-03-24	03:3	True	0.732	0.75	11	-6.366	0	0.231	0.0	0.109	0.401	155.096	4	1583391020	462557554	
28	Don't Let Me Down	1i1fxkWeaMmKEB4T7zqbzK	The Chainsmokers	69GGBxA162lTqCwzJG5jLp	Don't Let Me Down	2SByipSK8eZ2pasaIwwzhf	2016-02-05	03:28	False	0.532	0.869	11	-5.094	1	0.172	0.00508	0.136	0.422	159.803	4	1487672813	1766761808	edm,trap
29	HUMBLE.	7ujx3NYtwO2LkmKGz59mXp	Kendrick Lamar	2YZyLoL8N0Wb9xBt1NhZWg	DAMN.	7wbJhbCvhPfbK1CLAkpq25	2017-04-14	02:57	True	0.906	0.625	1	-6.779	0	0.0903	3.23e-05	0.0975	0.423	150.018	4	1521910154	817052831	hip hop
30	Bohemian Rhapsody - Remastered 2011	1AhDOtG9vPSOmsWgNW0BEY	Queen	1dfeR4HaWDbWqFHLkxsg1d	A Night At The Opera (2011 Remaster)	1TSZDcvlPtAnekTaItI3qO	1975-11-21	05:54	False	0.414	0.404	0	-9.928	0	0.0499	0.0	0.3	0.224	71.105	4	1651069301	187867	progressive rock,hard rock,progressive pop
31	Happier	2dpaYNEQHiRxtZbfNsse99	Marshmello	64KEffDW9EtZ1y2vBYgq8T	Happier	78EicdHZr5XBWD7llEZ1Jh	2018-08-17	03:34	False	0.687	0.792	5	-2.749	1	0.0452	0.0	0.167	0.671	100.015	4	1553872097	889915540	dance-pop
32	All of Me	3U4isOIWM3VvDubwSI3y7a	John Legend	5y2Xq6xcjJb2jVM54GHK3t	Love In The Future (Expanded Edition)	4OTAx9un4e6NfoHuVRiOrC	2013-08-30	04:30	False	0.422	0.264	8	-7.064	1	0.0322	0.0	0.132	0.331	119.93	4	1619189424	2024229411	r&b,soul,pop
33	I Took A Pill In Ibiza - Seeb Remix	7vfWgVGiLgnGbInU5lvSQg	Mike Posner	2KsP6tYLJlTBvSUxnwlVWa	I Took A Pill In Ibiza (Seeb Remix)	31VgmdtmYLMb31XhP3RPVc	2015-07-24	03:19	True	0.673	0.79	7	-4.663	0	0.0893	9.95e-06	0.0875	0.705	102.013	4	1463120114	1421465878	folk pop,tropical house,seeb
34	Better Now	7dt6x5M1jzdTEt8oCbisTK	Post Malone	246dkjvS1zLTtiykXe5h60	beerbongs & bentleys	6trNtQUgC8cgbWcqoMYkOR	2018-04-27	03:51	True	0.68	0.578	10	-5.804	1	0.04	0.0	0.135	0.341	145.038	4	1503753368	487518477	
35	Shallow	2VxeLyX666F8uXCJ0dZF8B	Lady Gaga	1HY2Jd0NmPuamShAr6KMms	A Star Is Born Soundtrack	4sLtOBOzn4s3GDUv3c5oJD	2018-10-05	03:36	False	0.572	0.385	7	-6.362	1	0.0308	0.0	0.231	0.323	95.799	4	1655883754	1220455676	rock,folk-pop,country
36	Let Me Love You	4pdPtRcBmOSQDlJ3Fk945m	DJ Snake	540vIaP2JwjQb9dm3aArA4	Encore	55bbXORm6ZrVq52zfZnxBf	2016-08-05	03:26	False	0.476	0.718	8	-5.309	1	0.0576	1.02e-05	0.122	0.142	199.864	4	1476513373	1025088047	edm,tropical house
37	Faded	1brwdYwjltrJo7WHpIvbYt	Alan Walker	7vk5e3vY1uw9plTHJAMwjN	Faded	4pvMZr2Kfe1typbTqMHa8z	2015-12-04	03:33	False	0.589	0.651	6	-5.097	1	0.0306	3.2e-06	0.111	0.166	90.011	4	1479701541	3182720701	electro house
38	Stressed Out	3CRDbSIZ4r5MsZ0YwxuEkn	Twenty One Pilots	3YQKmKGau1PzlVlkL1iodx	Blurryface	3cQO7jp5S9qLBoIVtbkSM1	2015-05-15	03:22	False	0.734	0.637	4	-5.677	0	0.141	2.29e-05	0.0602	0.648	169.977	4	1535876038	2416397033	alternative hip hop,rap rock,rock,psychedelic pop
39	7 rings	14msK75pk3pA33pzPVNtBF	Ariana Grande	66CXWjxzNUsdJxJ2JdwvnR	7 rings	03D36t8ODrA8ATvoTStU9P	2019-01-18	02:59	True	0.725	0.321	1	-10.744	0	0.323	0.0	0.0884	0.319	70.142	4	1597670930	1088362507	trap,pop,hip hop,r&b
40	Congratulations	6syOdAs4IK8kPWR7gDyjRw	Post Malone	246dkjvS1zLTtiykXe5h60	Stoney	7J0uECwRkAFLiZljgYFq1w	2016-12-09	03:40	True	0.629	0.817	6	-4.261	1	0.0357	0.0	0.317	0.466	123.087	4	1467753561	1397986072	trap
41	Take Me To Church	7dS5EaCoMnN7DzlpT6aRn2	Hozier	2FXC3k01G6Gw61bmprjgqS	Hozier (Deluxe)	7HW03Zew4rnOhy5uwskRSz	2014-05-20	04:2	False	0.566	0.664	4	-5.303	0	0.0464	0.0	0.116	0.437	128.945	4	1581787330	549490148	indie rock,soul,blues
42	Jocelyn Flores	7m9OqQk4RVRkw9JJdeAw96	XXXTENTACION	15UsOTVnJzReFVN1VCnxy4	17	5VdyJkLe3yvOs0l4xXbWp0	2017-08-25	01:59	True	0.872	0.391	0	-9.144	0	0.242	4.13e-06	0.297	0.437	134.021	4	1586545062	594511578	emo rap,hip hop,lo-fi,alternative hip hop
43	Stay With Me	7IHOIqZUUInxjVkko181PB	Sam Smith	2wY79sveU1sp5g7SokKOiI	In The Lonely Hour (Deluxe Edition)	7p7RFI5jtwYDknwhnQgmlp	2014-01-01	02:53	False	0.5	0.418	0	-6.535	1	0.0377	0.000193	0.11	0.176	84.899	4	1440133743	1105894923	soul
44	Cheap Thrills	7BPw9h8vCIX94N0rjFU12S	Sia	5WUlDfRSoLAfcVSX1WnrxN	This Is Acting	3Xz1Bcn4YP9bdqlsstMfuJ	2016-02-18	03:32	False	0.628	0.698	6	-5.608	0	0.105	0.00143	0.0907	0.732	89.976	4	1357635021	664778717	synthpop,dancehall
45	Treat You Better	53B2XmmjJ9rriW1qciMBeX	Shawn Mendes	7n2wHs1TKAczGzO7Dd2rGr	Treat You Better	5W7vVhoTaSBEUTfEydrQfp	2016-06-03	03:8	False	0.45	0.825	10	-4.066	0	0.372	0.0	0.109	0.742	82.823	4	1424183892	2166517494	pop
46	Let Her Go	3ZxsClaR81YqW3GTSvCTke	Passenger	0gadJ2b9A4SKsB1RFkBb66	All the Little Lights	6G6baprVCNT1apcXRpNOoD	2012-06-29	04:13	False	0.479	0.545	7	-7.346	1	0.0688	0.0	0.0963	0.244	74.897	4	1480903789	3120162725	folk rock
47	Uptown Funk (feat. Bruno Mars)	32OlwWuMpZ6b0aN2RZOeMS	Mark Ronson	3hv9jJF3adDNsBSIQDqcjp	Uptown Special	3vLaOYCNCzngDf8QdBg2V1	2015-01-12	04:30	False	0.856	0.609	0	-7.223	1	0.0824	8.15e-05	0.0344	0.928	114.988	4	1408467938	4370411937	funk,pop,soul,boogie,disco,pop,minneapolis sound
48	Unforgettable	1F2HXIJrE2Xn81OzT2zZvW	French Montana	6vXTefBL93Dj5IqAWq6OTv	Unforgettable	1udLKdsDr7GRmJU6Cxyt7j	2017	03:54	True	0.726	0.769	6	-5.043	1	0.123	0.0101	0.104	0.733	97.985	4	1374460202	1320063324	dancehall,hip hop
49	Chandelier	4VrWlk8IQxevMvERoX08iC	Sia	5WUlDfRSoLAfcVSX1WnrxN	1000 Forms Of Fear	3xFSl9lIRaYXIYkIn3OIl9	2014-07-04	03:36	False	0.399	0.787	1	-2.88	1	0.0499	6.07e-05	0.0685	0.572	117.089	5	1206564218	2443339762	electropop
50	Girls Like You (feat. Cardi B) - Cardi B Version	7fa9MBXhVfQ8P8Df9OEbD8	Maroon 5	04gDigrS5kc9YWfZHwBETP	Red Pill Blues (Deluxe)	1Li4rADxSxjT2g4xqUcMYh	2018-06-15	03:56	True	0.851	0.541	0	-6.825	1	0.0505	0.0	0.13	0.448	124.959	4	1357626708	3178564785	pop,pop rock
51	Cold Water (feat. Justin Bieber & MØ)	6DNtNfH8hXkqOX1sjqmI7p	Major Lazer	738wLrAtLtCtFOLvQBXOXp	Cold Water (feat. Justin Bieber & MØ)	3o99825qhG7K7D07naRs4F	2016-07-22	03:5	False	0.608	0.798	6	-5.092	0	0.0432	0.0	0.156	0.501	92.943	4	1233653508	1017035864	
52	What Do You Mean?	1ds2QsfhAAfRiaFMGDzrdb	Justin Bieber	1uNFoZAHBGtllmzznpCI3s	What Do You Mean?	2hL8vuRtlo75Wr9PyZI5Jb	2015-08-28	03:28	False	0.842	0.564	5	-8.042	0	0.105	0.00024	0.0912	0.782	124.984	4	1244756194	2173804568	pop,tropical house
53	Despacito (Featuring Daddy Yankee)	4aWmUDTfIPGksMNLV2rQP2	Luis Fonsi	4V8Sr092TqfHkfAA5fXXqG	Despacito (Featuring Daddy Yankee)	1HV4uCbhCicfl07dm2WvU0	2017-01-13	03:48	False	0.66	0.786	2	-4.757	1	0.17	0.0	0.112	0.846	177.833	4	1318319312	7636805909	reggaeton,latin pop
54	7 Years	23ihGIrYOSzNNGJ6STAxI4	Lukas Graham	25u4wHJWxCA9vO0CzxAbK7	Lukas Graham (Blue Album)	7AwaPpt4OgmHj48xqy0M8p	2015-06-26	03:57	False	0.741	0.473	10	-5.829	1	0.0603	0.0	0.391	0.342	119.951	4	1318135344	1210226260	soul,pop
55	"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"	6JV2JOEocMgcZxYSZelKcc	Justin Timberlake	31TPClRtHm23RisEBtV3X7	"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"	40LbnfieVTWtHrK24WQeEB	2016-05-06	03:56	False	0.666	0.83	0	-5.715	1	0.0751	0.0	0.191	0.702	113.03	4	1298108858	1482482247	disco,pop,soul-pop
56	Stitches	1WP1r7fuvRqZRnUaTi2I1Q	Shawn Mendes	7n2wHs1TKAczGzO7Dd2rGr	Handwritten (Deluxe)	5wKylB0Zwnxz046O7po25D	2015-04-13	03:27	False	0.746	0.754	1	-6.681	1	0.067	0.0	0.0486	0.764	149.882	4	1364515652	1402340720	pop
57	Cheerleader (Felix Jaehn Remix) - Radio Edit	4fTHdMTq0Znl3djLI1Typn	OMI	5MouCg6ta7zAxsfMEbc1uh	Cheerleader (Felix Jaehn Remix Radio Edit)	6OGsd4ZWO6kA22UbghEYcm	2015-01-23	03:0	False	0.827	0.576	4	-7.774	1	0.0372	0.029	0.0656	0.41	118.04	4	1229062377	1139108883	reggae fusion,deep house,felix jaehn
58	This Is What You Came For (feat. Rihanna)	0azC730Exh71aQlOt9Zj3y	Calvin Harris	7CajNmpbOovFoOoasH2HaY	This Is What You Came For (feat. Rihanna)	3pEgGUv379EDinvg1TN7Kt	2016-04-29	03:42	False	0.631	0.927	9	-2.787	0	0.0332	0.119	0.148	0.465	123.962	4	1213657821	2527299192	edm,house
59	That's What I Like	0KKkJNfGyhkQ5aFogxQAPU	Bruno Mars	0du5cEVh5yTK9QJze8zA0C	24K Magic	4PgleR09JVnm3zY1fW3XBA	2016-11-17	03:27	False	0.853	0.56	1	-4.961	1	0.0406	0.0	0.0944	0.86	134.066	4	1311142102	1944762694	hip hop soul,new jack swing,r&b,funk
60	Work from Home (feat. Ty Dolla $ign)	4tCtwWceOPWzenK2HAIJSb	Fifth Harmony	1l8Fu6IkuTP0U5QetQJ5Xt	7/27 (Deluxe)	0pF0oyuPNdOObniB1Ng0kW	2016-05-27	03:34	False	0.803	0.585	8	-5.861	1	0.0432	3.94e-06	0.0644	0.593	105.017	4	1168855899	2515922663	pop,r&b
61	Hello	1MDoll6jK4rrk2BcFRP5i7	Adele	4dpARuHxo51G3z768sgnrY	Hello	5y28RdPzIRXegzr5YM9Y0D	2015-10-23	04:56	False	0.471	0.431	5	-6.129	0	0.0342	0.0	0.0854	0.289	157.98	4	1209503939	2914738491	soul
62	Can't Feel My Face	3X38ErFiKgzUxinBlhwuWm	The Weeknd	1Xyo4u8uXC1ZmMpatF05PJ	Can’t Feel My Face	6lYwnAawTuMeJS0fC64WyQ	2015-06-09	03:36	False	0.713	0.766	9	-5.389	0	0.0455	0.0	0.0981	0.547	107.984	4	1221850593	1220468317	pop,disco,funk
63	Heathens	6i0V12jOa3mr6uu4WYhUBr	Twenty One Pilots	3YQKmKGau1PzlVlkL1iodx	Heathens	3J8W9AOjQhnBLCX33m3atT	2016-06-16	03:16	False	0.732	0.396	4	-9.348	0	0.0286	3.58e-05	0.105	0.548	90.024	4	1278885880	1770813905	rap rock,industrial,dark wave,rock
64	See You Again (feat. Charlie Puth)	7wqSzGeodspE3V6RBD5W8L	Wiz Khalifa	137W8MRPWKqSmrBGDBFSop	See You Again (feat. Charlie Puth)	02tTjKlh9iQ5jlWYPbKLJZ	2015-03-10	03:50	False	0.689	0.481	10	-7.503	1	0.0815	1.03e-06	0.0649	0.283	80.025	4	1292833053	5333250929	hip hop,pop-rap
65	Radioactive	6Ep6BzIOB9tz3P4sWqiiAB	Imagine Dragons	53XhwfbYqKCa1cC15pYq2q	Night Visions (Deluxe)	1vAEF8F0HoRFGiYOEeJXHW	2012-09-04	03:7	False	0.473	0.777	9	-3.698	1	0.059	7.87e-05	0.671	0.21	136.249	4	1252157740	1329978622	electronic rock,alternative rock
66	Psycho (feat. Ty Dolla $ign)	7wrDRQgHlvDnimrRHfQZxt	Post Malone	246dkjvS1zLTtiykXe5h60	Psycho (feat. Ty Dolla $ign)	1Val8NiAXyp2yTBiwZ53Ju	2018-02-23	03:41	True	0.748	0.546	8	-8.134	1	0.106	0.0	0.112	0.413	140.005	4	1241801770	908699761	r&b
67	Rockabye (feat. Sean Paul & Anne-Marie)	5knuzwU65gJK7IF5yJsuaW	Clean Bandit	6MDME20pz9RveH9rEXvrOM	Rockabye (feat. Sean Paul & Anne-Marie)	3meZFplbMmji648oWUNEfQ	2016-10-21	04:11	False	0.72	0.763	9	-4.068	0	0.0523	0.0	0.18	0.742	101.965	4	1157476580	2606099486	classical crossover,tropical house,deep house,euro house,edm,dancehall
68	Wake Me Up - Radio Edit	6g1NlCpW7fgqDnWbCCDrHl	Avicii	1vCWHaC5f2uS3yhpwWbIA6	True	02h9kO2oLKnLtycgbElKsw	2013-01-01	04:7	False	0.532	0.783	2	-5.697	1	0.0523	0.0012	0.161	0.643	124.08	4	1435172514	645566	folktronica
69	Attention	4iLqG9SeJSnt0cSPICSjxv	Charlie Puth	6VuMaDnrHyPL1p4EHjYLi7	Attention	0t0NkQulrNkxw2oUZZHboA	2017-04-20	03:31	False	0.774	0.626	3	-4.432	0	0.0432	3.12e-05	0.0848	0.777	100.041	4	1241706255	1313281846	pop rock
70	I'm the One	72Q0FQQo32KJloivv5xge2	DJ Khaled	0QHgL1lAIqAw0HtD7YldmP	I'm the One	7mRliFLzSnVPzjO0sSy3ar	2017-04-27	04:49	True	0.599	0.667	7	-4.267	1	0.0367	0.0	0.134	0.817	80.984	4	1081466519	1593219023	hip hop,pop-rap
71	Work	14WWzenpaEgQZlqPq2nk4v	Rihanna	5pKCCKE2ajJHZ9KAiaK11H	ANTI (Deluxe)	2JNVoEx4psIgNQyEExwQVn	2016-01-28	03:39	True	0.725	0.534	11	-6.238	1	0.0946	0.0	0.0919	0.558	91.974	4	1082302403	1236365246	dancehall,reggae-pop,r&b
72	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	3NdDpSvN911VPGivFlV5d0	ZAYN	5ZsFI1h6hIdQRw2ti0hz81	I Don’t Wanna Live Forever (Fifty Shades Darker)	5MxXY7DbFMUiHFTPUabgJJ	2016-12-09	04:5	False	0.735	0.451	0	-8.374	1	0.0585	1.3e-05	0.325	0.0862	117.973	4	1175213536	651691105	electro,r&b
73	It Ain't Me (with Selena Gomez)	3eR23VReFzcdmS7TYCrhCe	Kygo	23fqKkggKUBHNkbKtXEls4	It Ain't Me (with Selena Gomez)	0IUCAsckpNyV4wHKIHQawC	2017-02-16	03:41	False	0.64	0.533	0	-6.596	1	0.0706	0.0	0.0864	0.515	99.968	4	1118411877	576059958	edm
74	Light It Up (feat. Nyla & Fuse ODG) - Remix	6lDo13SSgTv0WbyUQKgnjk	Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is the Mission (Extended Edition)	0OY2WzmmPG8yRZzmMeTX9N	2015-11-27	02:46	False	0.746	0.877	9	-3.782	0	0.0666	0.000833	0.233	0.751	107.985	4	1016434184	13095367	moombahton,dancehall,edm
75	Mi Gente	2rb5MvYT7ZIxbKW5hfcHx8	J Balvin	1vyhD5VmyZ7KMfW5gqLgo5	Mi Gente	57DmSe1xfynExe60QgpWU0	2017-06-30	03:9	False	0.543	0.677	11	-4.915	0	0.0993	6.21e-06	0.13	0.294	103.809	4	1151376577	3004360370	moombahton,reggaeton
76	We Don't Talk Anymore (feat. Selena Gomez)	06KyNuuMOX1ROXRhj787tj	Charlie Puth	6VuMaDnrHyPL1p4EHjYLi7	Nine Track Mind	5Nwsra93UQYJ6xxcjcE10x	2016-01-29	03:38	False	0.728	0.563	1	-8.053	0	0.134	0.0	0.179	0.352	100.017	4	1233581189	256504847	pop
77	Counting Stars	519uJbE3zyKLlToVA65PrP	OneRepublic	5Pwc4xIPtQLFEnJriah9YJ	Native (Deluxe)	24REY1t8dFi2VXi6oUVO8j	2013-01-01	04:17	False	0.665	0.7	1	-4.946	0	0.042	0.0	0.119	0.473	121.961	4	1399096907	3447619420	folk-pop,pop rock,dance-pop
78	Sugar	6DrBnEWZ5kxvBiBaDaGQnc	Maroon 5	04gDigrS5kc9YWfZHwBETP	V (Deluxe)	2xOAAj0YESnHbb0Fcrle5N	2014-08-29	03:55	True	0.743	0.764	1	-7.071	1	0.0339	0.0	0.0854	0.895	120.045	4	1258261565	3593874013	disco,funk,pop,soul
79	Too Good At Goodbyes - Edit	0mel2N9Ws9r4yLQn5QE21Y	Sam Smith	2wY79sveU1sp5g7SokKOiI	Too Good At Goodbyes	7oiRNdTfUWmsx6DAjEe7DB	2017-09-08	03:21	False	0.653	0.378	5	-8.273	1	0.0533	0.0	0.177	0.54	91.835	4	1383086387	1307685257	
80	The Hills	0ysmhSqZrkiRkRH4mH8rDn	The Weeknd	1Xyo4u8uXC1ZmMpatF05PJ	The Hills	1XO0SIspYtH1EKFs17UAtj	2015-05-27	04:3	True	0.576	0.55	0	-7.01	0	0.0649	0.0	0.139	0.107	113.048	4	1367875478	1750199357	alternative r&b,trap
